text	intent
danl webster coming party 	dialogue
assume command ship 0130 hours  uhura  send starfleet hq  explain precisely taken place  request instructions 	dialogue
got crusader 	dialogue
channels  got two six  two nt come hot 	dialogue
working  egon 	dialogue
settled  reneged  nt fair 	dialogue
dunno -- fills gaps 	dialogue
mr smith  ve read plays d like autograph 	dialogue
make sound  nt scream 	dialogue
first made claims sexual relationship mr trump 2011 interview intouch magazine  lie test taken life style magazine never released 	political
earlier reports stated plant aimed boosting firms production capacity us would based huntsville  alabama 	political
ordered homeland security step already extreme vetting program   promised twitter 	political
trump may exception 	political
mass shootings shooter uses military-style assault rifles  conversation often focuses banning limiting assault rifle purchases 	political
could nt get together week 	political
past weekend  president donald trump recommended nfl owners fire athletes disrespecting flag  kneeling 	political
trump never terribly adamant denying often made calls reporters posing someone else 	political
could social media platform  one would 	political