source,url
bbc,https://www.bbc.co.uk/search/more?page={}&q=trump&filter=news&suggid=
chicago,http://www.chicagotribune.com/search/dispatcher.front?page={}&target=all&spell=on&Query=trump#trb_search
cnn,https://search.api.cnn.io/content?q=politics&size=100&from={}&page=1
fox_news,http://www.foxnews.com/politics/_jcr_content/section-main-par-orion/down_river.results.more.15{}8940000.html
la_times_natpol,http://www.latimes.com/search/?q=national+politics&p={}
la_times_trump,http://www.latimes.com/search/?q=trump&t=story&s=date&p={}
msnbc,http://www.msnbc.com/search/politics?f[0]=bundle%3Aarticle&page={}
newsweek,http://www.newsweek.com/search/site/trump?page={}
npr,https://www.npr.org/sections/politics/archive?start={}&date=4-30-2018
ny_times,https://www.nytimes.com/search/politics/best/20171001/20180430
politico,https://www.politico.com/search/{}?s=newest&adv=true
reuters,https://www.reuters.com/news/archive/politicsNews?view=page&page={}&pageSize=10
usa_today,https://www.usatoday.com/search/politics/{}/?ajax=true
vox,https://www.vox.com/archives/policy-and-politics/2018/{}
wapo_politics,https://www.washingtonpost.com/politics
wapo_security,https://www.washingtonpost.com/world/national-security
wsj,http://www.wsj.com/search/term.html?KEYWORDS=trump&min-date=2016\\\\/04/04&max-date=2018/04/30&sort=date-desc&page={}